#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	64	4	0.50	224.5	224.5	0.397	0.391
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	64	4	0.25	224.3	224.3	0.266	0.288
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	64	4	0.12	224.8	224.5	0.210	0.264
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	32	4	0.12	112.4	112.4	0.266	0.275
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	16	4	0.12	56.3	56.3	0.281	0.355
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	8	4	0.12	28.1	28.1	0.453	0.411
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	8	4	0.12	133.4	133.6	0.078	0.411
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	16	4	0.12	255.6	256.1	0.075	0.302
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	32	4	0.12	507.9	507.5	0.039	0.265
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	64	4	0.12	477.9	478.5	0.057	0.188
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	64	4	0.12	467.6	468.0	0.069	0.193
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	32	4	0.12	233.8	234.3	0.101	0.211
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	16	4	0.12	117.5	117.3	0.130	0.269
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	8	4	0.12	58.7	58.7	0.205	0.310
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
800	8	4	0.12	338.9	340.5	0.106	0.278
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	8	4	0.12	63.0	48.4	0.296	0.362
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	16	4	0.12	95.9	101.3	0.167	0.271
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	32	4	0.12	173.7	174.3	0.160	0.238
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	64	4	0.12	415.9	403.1	0.129	0.218
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	64	4	0.12	478.6	479.0	0.082	0.205
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	32	4	0.12	362.1	362.1	0.074	0.238
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	16	4	0.12	180.5	180.4	0.088	0.308
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	8	4	0.12	122.5	99.9	0.133	0.388
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
600	8	4	0.12	211.4	211.1	0.104	0.302
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
600	16	4	0.12	420.7	420.9	0.094	0.266
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	64	4	0.12	144.1	158.6	0.695	0.378
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	32	4	0.12	56.5	56.4	0.595	0.443
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	16	4	0.12	27.9	27.9	0.765	0.507
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	8	4	0.12	17.1	29.1	0.868	0.697
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	12	4	0.12	21.0	20.9	1.048	0.611
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
50	24	4	0.12	42.0	42.0	0.596	0.487
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	24	4	0.12	130.1	130.3	0.119	0.278
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
150	12	4	0.12	65.2	65.2	0.222	0.325
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	12	4	0.12	42.2	42.1	0.347	0.393
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
100	24	4	0.12	84.0	84.0	0.198	0.298
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	24	4	0.12	175.6	176.2	0.105	0.254
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
200	12	4	0.12	87.7	87.7	0.146	0.344
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	12	4	0.12	151.0	146.4	0.085	0.367
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	24	4	0.12	340.5	307.5	0.081	0.268
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	24	4	0.12	381.8	381.6	0.043	0.276
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
400	12	4	0.12	235.6	220.7	0.074	0.377
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
600	12	4	0.12	317.0	316.2	0.087	0.303
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
600	24	4	0.12	701.4	627.7	0.060	0.250
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	16	4	0.12	181.2	181.1	0.080	0.318
#nsamples	nmodels	taylor_order	elitism	tof_latency	pos_latency	tof_score	pos_score
300	43	4	0.12	487.0	486.0	0.066	0.242
